datetime,	activation,	dropout,	momentum,	minibatch_size,	n_epochs,	learning_rate,	optimizer,	n_layers,	units1,	units2,	units3,	units4,	units5,	units6,	training_r2,	test_r2
2018-03-27 18:12:28,	relu,	0.788200921064,	0.779846013852,	5442,	252,	0.0113493887049,	GradientDescentOptimizer,	4,	7.97756082283,	11.6279133465,	13.579756108,	4.11503397431,	None,	None,	-0.690704003855,	-0.690704003855
2018-03-27 18:12:28,	relu,	0.794165111151,	0.774163847807,	5404,	252,	0.0117009608999,	GradientDescentOptimizer,	4,	8.24621035721,	11.5677773676,	11.3330220343,	4.31781420661,	None,	None,	-0.388517215616,	-0.388517215616
2018-03-27 18:12:28,	relu,	0.79671216525,	0.773144926206,	5489,	252,	0.0123407136928,	GradientDescentOptimizer,	4,	8.27575673546,	11.6070058976,	13.2080220343,	4.00179679587,	None,	None,	-0.640648031793,	-0.640648031793
2018-03-27 18:12:28,	relu,	0.796191602269,	0.778459215642,	5471,	254,	0.0142469811299,	GradientDescentOptimizer,	4,	8.10614091457,	11.6728154419,	13.6350922595,	4.01672542746,	None,	None,	-0.596628741846,	-0.596628741846
2018-03-27 18:12:28,	relu,	0.788661355912,	0.774401930692,	5166,	253,	0.0118447573914,	GradientDescentOptimizer,	4,	8.11124113395,	11.6322186388,	10.8792842718,	4.10151407306,	None,	None,	-0.0457238461543,	-0.0457238461543
2018-03-27 18:12:28,	relu,	0.788252891105,	0.774317965308,	5567,	254,	0.0124788545307,	GradientDescentOptimizer,	4,	8.12195333918,	11.6224580772,	13.5674733255,	4.11460768784,	None,	None,	-0.0329574319605,	-0.0329574319605
2018-03-27 18:12:28,	relu,	0.791239943323,	0.776836642158,	2786,	254,	0.0150972697289,	GradientDescentOptimizer,	4,	7.94829783664,	11.6227501284,	13.6278289415,	3.93542658925,	None,	None,	-0.499383973175,	-0.499383973175
2018-03-27 18:12:28,	relu,	0.796308543464,	0.777804559218,	5706,	255,	0.0111584724801,	GradientDescentOptimizer,	4,	8.24109830405,	11.6811245638,	10.9222319714,	4.01937968408,	None,	None,	-0.0100244367521,	-0.0100244367521
2018-03-27 18:12:28,	relu,	0.742759215716,	0.776806303819,	5586,	255,	0.0128474158933,	GradientDescentOptimizer,	4,	7.97506547199,	11.5769264296,	13.5826751321,	3.98970653776,	None,	None,	-0.27349975969,	-0.27349975969
2018-03-27 18:12:28,	relu,	0.779079299266,	0.779102350755,	5612,	254,	0.0120776350912,	GradientDescentOptimizer,	4,	8.32484736761,	11.7776740532,	13.0908345343,	4.04762106347,	None,	None,	-0.541227827084,	-0.541227827084
2018-03-27 18:12:28,	relu,	0.784677256103,	0.773730050505,	5480,	252,	0.0129747844157,	GradientDescentOptimizer,	4,	8.06903359016,	11.5803843279,	11.2158345343,	3.97807869321,	None,	None,	-0.792378909516,	-0.792378909516
2018-03-27 18:12:28,	relu,	0.786390546736,	0.777388701354,	5538,	251,	0.0123174190457,	GradientDescentOptimizer,	4,	8.19270994238,	11.6740873224,	13.6698856722,	3.93178490538,	None,	None,	-0.208532123389,	-0.208532123389
2018-03-27 18:12:28,	relu,	0.785305943114,	0.778262612009,	4686,	251,	0.0116482999021,	GradientDescentOptimizer,	4,	8.1923751764,	11.7343055847,	13.6235189185,	3.9493042698,	None,	None,	-0.939598134296,	-0.939598134296
